CustomerID,Recency,Frequency,Monetary,Frequency_log,Monetary_log
12346,326,12,77556.46,2.5649493574615367,11.258774359980725
12347,2,8,4921.53,2.1972245773362196,8.501577904958904
12348,75,5,2019.4,1.791759469228055,7.6110507905938976
12349,19,4,4428.69,1.6094379124341003,8.39608488316401
12350,310,1,334.4,0.6931471805599453,5.815323849389109
12351,375,1,300.93,0.6931471805599453,5.710195202428391
12352,36,10,2849.84,2.3978952727983707,7.9553689666784315
12353,204,2,406.76,1.0986122886681098,6.010678766031786
12354,232,1,1079.4,0.6931471805599453,6.985086621918461
12355,214,2,947.61,1.0986122886681098,6.854997755239065
12356,23,6,6371.73,1.9459101490553132,8.759783228184276
12357,33,3,18287.66,1.3862943611198906,9.814036474622236
12358,2,5,3887.07,1.791759469228055,8.265668169533484
12359,58,10,8873.39,2.3978952727983707,9.090924879587071
12360,52,8,4252.89,2.1972245773362196,8.355589137409874
12361,287,4,511.25,1.6094379124341003,6.238812787119009
12362,3,11,5356.23,2.4849066497880004,8.586202329437555
12363,110,2,552.0,1.0986122886681098,6.315358001522335
12364,8,4,1313.1,1.6094379124341003,7.180907299649593
12365,291,2,641.38,1.0986122886681098,6.465180028897591
12366,634,1,500.24,0.6931471805599453,6.217085028297085
12367,4,1,168.9,0.6931471805599453,5.135210028677887
12368,628,1,917.7,0.6931471805599453,6.822959627277421
12369,413,3,1791.15,1.3862943611198906,7.491171295388921
12370,51,7,4316.56,2.0794415416798357,8.370445706855367
12371,45,5,4067.38,1.791759469228055,8.31100016480189
12372,72,3,1298.04,1.3862943611198906,7.169380809114136
12373,311,3,1127.65,1.3862943611198906,7.028777507229587
12374,25,4,2989.22,1.6094379124341003,8.003102242273277
12375,11,2,457.5,1.0986122886681098,6.127960291696519
12376,390,2,503.15,1.0986122886681098,6.222873842839224
12377,315,4,3426.32,1.6094379124341003,8.139533893646055
12378,130,2,5416.32,1.0986122886681098,8.597356507200939
12379,82,4,1620.22,1.6094379124341003,7.390934231218893
12380,22,11,9676.3,2.4849066497880004,9.177538215743802
12381,5,5,1845.31,1.791759469228055,7.520944331624911
12383,185,5,1850.56,1.791759469228055,7.523783805985769
12384,29,2,585.27,1.0986122886681098,6.373780434317173
12385,379,1,1938.4,0.6931471805599453,7.570133925870446
12386,338,2,401.9,1.0986122886681098,5.998688392197302
12387,415,1,143.94,0.6931471805599453,4.976319863681136
12388,16,8,3901.11,2.1972245773362196,8.269272711457157
12389,403,3,1433.33,1.3862943611198906,7.268453120207762
12390,80,1,549.84,0.6931471805599453,6.311444385858925
12391,22,6,2724.84,1.9459101490553132,7.910531916476688
12392,591,1,234.75,0.6931471805599453,5.462771921513567
12393,72,6,2399.45,1.9459101490553132,7.783411498760109
12394,64,2,1272.48,1.0986122886681098,7.149508589545504
12395,19,15,4721.17,2.772588722239781,8.46002371869161
12396,674,1,931.43,0.6931471805599453,6.837794081676172
12397,36,2,2409.9,1.0986122886681098,7.7877554007552545
12398,46,1,1635.66,0.6931471805599453,7.400412858792405
12399,119,7,1962.3,2.0794415416798357,7.582382009904704
12400,414,1,205.25,0.6931471805599453,5.32908902521479
12401,303,1,84.3,0.6931471805599453,4.446174454497633
12402,323,6,1256.9,1.9459101490553132,7.137198942844827
12403,50,2,1019.36,1.0986122886681098,6.927910785185701
12404,682,1,63.24,0.6931471805599453,4.162626069638506
12405,149,1,1710.39,0.6931471805599453,7.445061184797548
12406,22,5,6390.36,1.791759469228055,8.762702357276806
12407,50,5,1708.12,1.791759469228055,7.4437338971514055
12408,33,8,4340.77,2.1972245773362196,8.37603737805411
12409,79,7,23419.29,2.0794415416798357,10.061358019654037
12410,309,3,1013.71,1.3862943611198906,6.9223581363660704
12411,410,1,346.9,0.6931471805599453,5.8519150821578965
12412,75,6,2596.93,1.9459101490553132,7.862470253064629
12413,67,4,999.45,1.6094379124341003,6.908205177762502
12414,217,6,952.41,1.9459101490553132,6.860045031492727
12415,24,28,144458.37,3.367295829986474,11.88075357052652
12416,657,1,202.56,0.6931471805599453,5.315960801720632
12417,3,20,6797.41,3.044522437723423,8.824444040293804
12418,113,4,2021.2,1.6094379124341003,7.6119413066572985
12419,386,2,503.01,1.0986122886681098,6.222596109144375
12420,64,1,600.39,0.6931471805599453,6.3992436425478765
12421,16,6,1098.6,1.9459101490553132,7.00270175629109
12422,96,17,5231.8,2.8903717578961645,8.562701786647002
12423,1,10,2622.39,2.3978952727983707,7.872222653526559
12424,163,4,3340.03,1.6094379124341003,8.114034421663943
12425,78,2,1741.41,1.0986122886681098,7.4630244913725114
12426,195,2,1345.21,1.0986122886681098,7.205048515865767
12427,22,3,825.8,1.3862943611198906,6.717562827807613
12428,26,9,7956.46,2.302585092994046,8.981865132439246
12429,9,8,6204.41,2.1972245773362196,8.733176771201169
12430,43,1,256.4,0.6931471805599453,5.5506312951620265
12431,36,27,10432.22,3.332204510175204,9.252750225181329
12432,43,5,5059.32,1.791759469228055,8.529185001388596
12433,1,10,16794.14,2.3978952727983707,9.72884483782588
12434,85,3,1103.43,1.3862943611198906,7.007084643758051
12435,80,6,13925.93,1.9459101490553132,9.541579654832375
12436,100,1,509.01,0.6931471805599453,6.234430333369278
12437,2,39,12683.4,3.6888794541139363,9.44812817095412
12438,14,2,2906.85,1.0986122886681098,7.9751692554798295
12439,683,2,1142.88,1.0986122886681098,7.042181271332972
12440,462,2,859.2,1.0986122886681098,6.757164920349636
12441,367,1,173.55,0.6931471805599453,5.162211233551045
12442,3,1,172.06,0.6931471805599453,5.153638355178593
12443,732,1,485.31,0.6931471805599453,6.186846280636522
12444,21,5,5005.46,1.791759469228055,8.518484357502437
12445,22,2,434.98,1.0986122886681098,6.077596370737269
12446,58,1,1002.31,0.6931471805599453,6.9110598129904375
12447,243,1,476.49,0.6931471805599453,6.168543217293113
12448,44,1,449.45,0.6931471805599453,6.110247083097449
12449,22,6,4835.89,1.9459101490553132,8.484027231195778
12450,156,5,688.2,1.791759469228055,6.5355315046537745
12451,11,8,12669.88,2.1972245773362196,9.447061726309741
12452,17,2,430.57,1.0986122886681098,6.067429722163682
12453,134,1,707.09,0.6931471805599453,6.562571204258897
12454,56,5,16679.78,1.791759469228055,9.72201243740933
12455,73,10,5879.95,2.3978952727983707,8.679473592468364
12456,44,3,3181.04,1.3862943611198906,8.065277779528966
12457,66,8,2995.91,2.1972245773362196,8.005337036835723
12458,71,4,1777.49,1.6094379124341003,7.483519968656931
12459,605,1,454.36,0.6931471805599453,6.121088314901487
12460,456,1,326.65,0.6931471805599453,5.791945965485506
12461,94,2,826.88,1.0986122886681098,6.718868216346018
12462,19,2,1189.59,1.0986122886681098,7.082204261557526
12463,53,4,1344.78,1.6094379124341003,7.204729049594601
12464,10,8,1212.05,2.1972245773362196,7.100893128209941
12465,17,2,742.19,1.0986122886681098,6.610951732080795
12466,682,1,56.73,0.6931471805599453,4.055776969072842
12467,423,1,132.8,0.6931471805599453,4.896346147694128
12468,188,5,3670.74,1.791759469228055,8.208420943133293
12469,523,2,3070.54,1.0986122886681098,8.029934343472139
12470,690,1,211.95,0.6931471805599453,5.3610573963692225
12471,2,79,39918.19,4.382026634673881,10.59461243963838
12472,32,19,16249.29,2.995732273553991,9.69586603375249
12473,29,5,3928.05,1.791759469228055,8.276152945361936
12474,17,31,12372.75,3.4657359027997265,9.423332572234017
12475,54,2,1149.64,1.0986122886681098,7.048073588295634
12476,16,23,14083.91,3.1780538303479458,9.5528592905137
12477,23,9,20276.37,2.302585092994046,9.917260764877222
12478,4,1,680.99,0.6931471805599453,6.525014994979364
12479,11,1,527.2,0.6931471805599453,6.269474999863032
12480,28,7,5464.85,2.0794415416798357,8.606274923740443
12481,23,15,12185.51,2.772588722239781,9.408084881237475
12482,576,29,23691.4,3.4011973816621555,10.072909600590481
12483,17,19,5097.18,2.995732273553991,8.536638892276656
12484,33,12,6354.1,2.5649493574615367,8.757012919140978
12485,529,1,708.1,0.6931471805599453,6.563996560309951
12486,432,1,1037.28,0.6931471805599453,6.945320776868279
12487,731,1,285.3,0.6931471805599453,5.65704021210407
12488,10,3,1298.66,1.3862943611198906,7.169857970780942
12489,336,1,334.93,0.6931471805599453,5.816902804925467
12490,5,21,9823.64,3.091042453358316,9.192648794844782
12491,39,1,460.4,0.6931471805599453,6.134265345739653
12492,63,3,715.21,1.3862943611198906,6.573973420047142
12493,166,2,433.74,1.0986122886681098,6.0747481512447195
12494,16,9,1815.27,2.302585092994046,7.504540226523796
12495,641,1,357.4,0.6931471805599453,5.881649681100775
12496,620,2,45.34,1.0986122886681098,3.8360055190042304
12497,82,3,6248.5,1.3862943611198906,8.740256739530276
12498,21,3,403.7,1.3862943611198906,6.00314605188182
12499,560,1,393.72,0.6931471805599453,5.9781766527810465
12500,23,19,5955.21,2.995732273553991,8.692189651745124
12501,337,1,2169.39,0.6931471805599453,7.682662153888476
12502,96,5,3723.87,1.791759469228055,8.222787230875806
12503,584,1,1126.0,0.6931471805599453,7.027314514039777
12504,18,4,779.05,1.6094379124341003,6.659358020193259
12505,409,1,955.2,0.6931471805599453,6.862967096192003
12506,233,1,73.5,0.6931471805599453,4.310799125385514
12507,134,4,1844.06,1.6094379124341003,7.520267076271057
12508,26,2,397.88,1.0986122886681098,5.988660619775247
12509,284,1,176.5,0.6931471805599453,5.178970608915471
12510,143,9,5178.02,2.302585092994046,8.552371128165808
12511,429,1,3084.02,0.6931471805599453,8.034313419300645
12512,66,2,132.18,1.0986122886681098,4.891701596682476
